Cliente,Nombre                             ,DISTRITO                  ,Latitud             ,Longitud            ,C.Sumin
6240266,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240270,PLAZA VEA HIGUERETA,SANTIAGO DE SURCO,-12.127533,-77.000916,0374
6240272,PLAZA VEA CENTRO CIVICO,LIMA,-12.056987,-77.037764,0374
6240273,PLAZA VEA COLONIAL,CALLAO,-12.052272,-77.09259,0374
6240277,PLAZA VEA SAN JUAN LURIGANCHO,SAN JUAN DE LURIGANCHO,-11.933719,-76.689092,0374
6240278,PLAZA VEA SANTA CLARA,ATE,-12.01351666,-76.88514418,0374
6240280,PLAZA VEA PUENTE PIEDRA,PUENTE PIEDRA,-11.864227,-77.0733,0374
6240281,PLAZA VEA UNIVERSITARIA,LOS OLIVOS,-12.010205,-77.080308,0374
6240282,PLAZA VEA IZAGUIRRE,INDEPENDENCIA,-11.9892808,-77.0625613,0374
6240283,PLAZA VEA PRO,COMAS,-11.940498,-77.070582,0374
6240286,VIVANDA JAVIER PRADO,MAGDALENA DEL MAR,-12.093474,-77.057977,0374
6240288,SUPER VEA DASSO,SAN ISIDRO,-12.107399,-77.039245,0374
6240289,SUPER VEA AYACUCHO,SANTIAGO DE SURCO,-12.14270561,-77.00293068,0374
6240291,SUPER VEA SAN MIGUEL,SAN MIGUEL,-12.0758127,-77.0838838,0374
6240293,SUPER VEA VALLE HERMOSO,SANTIAGO DE SURCO,-12.12721,-76.975368,0374
6240296,PLAZA VEA PRIMAVERA,MIRAFLORES,-12.1289057,-77.0248243,0374
6240297,PLAZA VEA ALFONSO UGARTE,LIMA,-12.05347877,-77.04191126,0374
6240298,SUPER VEA MERCADERES,SANTIAGO DE SURCO,-12.129209,-76.983943,0374
6240299,PLAZA VEA SAN JORGE,LA MOLINA,-12.070089,-76.95778,0374
6240300,PLAZA VEA COMAS,COMAS,-11.934524,-77.046925,0374
6240301,PLAZA VEA LOS OLIVOS,LOS OLIVOS,-11.99384133,-77.07262109,0374
6240302,SUPER VEA SALAMANCA,ATE,-12.0803595,-76.9860868,0374
6240303,PLAZA VEA RISSO,LINCE,-12.086683,-77.034372,0374
6240304,PLAZA VEA CAMINOS DEL INCA,SANTIAGO DE SURCO,-12.11427302,-76.99104469,0374
6240305,PLAZA VEA LA MOLINA,LA MOLINA,-12.0907,-76.9507,0374
6240306,PLAZA VEA BOLICHERA,SANTIAGO DE SURCO,-12.147582,-76.987019,0374
6240307,PLAZA VEA BRASIL,JESUS MARIA,-12.075087,-77.053491,0374
6240308,PLAZA VEA ATE,ATE,-12.054003,-76.962406,0374
6240309,PLAZA VEA CORTIJO,BARRANCO,-12.133898,-77.018133,0374
6240310,PLAZA VEA JOCKEY,SANTIAGO DE SURCO,-12.086177,-76.977497,0374
6240312,PLAZA VEA MIRAFLORES,MIRAFLORES,-12.112264,-77.029972,0374
6240313,PLAZA VEA SAENZ PE A,BELLAVISTA,-12.059539,-77.131703,0374
6240314,WONG ATE TH12,ATE,-12.059361,-76.962773,0374
6240318,WONG ASIA T116,ASIA,-12.76171053,-76.60128275,0374
6240319,WONG DOS DE MAYO T101,SAN ISIDRO,-12.09157724,-77.0419562,0374
6240331,METRO PLAZA NORTE H014,SAN MARTIN DE PORRES,-12.0061552,-77.06085239,0374
6240333,WONG ALDABAS T115,SANTIAGO DE SURCO,-12.12982668,-76.98237826,0374
6240334,WONG CHACARILLA T106,SANTIAGO DE SURCO,-12.11151768,-76.99221853,0374
6240336,WONG CAMACHO T111,LA MOLINA,-12.08049334,-76.96699826,0374
6240342,WONG AURORA T103,MIRAFLORES,-12.12151836,-77.01121052,0374
6240343,WONG UCELLO T107,SAN BORJA,-12.08973343,-77.00557239,0374
6240344,WONG LA PLANICIE T114,LA MOLINA,-12.07717109,-76.91790299,0374
6240345,WONG BENAVIDES T104,MIRAFLORES,-12.126047,-77.017705,0374
6240353,METRO VENTANILLA S014,VENTANILLA,-11.876456,-77.126012,0374
6240354,METRO BARRANCO S009,BARRANCO,-12.14625111,-77.02172356,0374
6240355,METRO RETABLO S011,COMAS,-11.93368139,-77.05651126,0374
6240357,METRO LA CURVA S010,SAN JUAN DE MIRAFLORES,-12.150919,-76.980563,0374
6240358,METRO COMAS H011,COMAS,-11.933407,-77.046836,0374
6240360,METRO UNI H007,RIMAC,-12.0113958,-77.05185011,0374
6240361,METRO COLONIAL H010,CALLAO,-12.049871,-77.078986,0374
6240362,METRO SHELL S008,MIRAFLORES,-12.12259404,-77.02984663,0374
6240365,METRO SAN BORJA H003,SAN BORJA,-12.10872983,-77.0019926,0374
6240366,METRO SAN JUAN LURIGANCHO H006,SAN JUAN DE LURIGANCHO,-12.007111,-77.004826,0374
6240367,METRO LIMA H009,LIMA,-12.04878035,-77.03188015,0374
6240368,METRO CANADA H008,LA VICTORIA,-12.08407323,-77.01383923,0374
6240369,METRO PERSHING S005,JESUS MARIA,-12.08913589,-77.05768757,0374
6240371,METRO ARAMBURU S003,SURQUILLO,-12.10359458,-77.02052745,0374
6240372,METRO GARZON S002,JESUS MARIA,-12.07376764,-77.05096912,0374
6240373,METRO MOLINA S001,LA MOLINA,-12.070089,-76.95778,0374
6240374,METRO MARINA H005,SAN MIGUEL,-12.077654,-77.090583,0374
6240375,METRO BRE A H002,BRE A,-12.054307,-77.042429,0374
6240410,METRO GARZON S002,JESUS MARIA,,,0374
6240412,METRO PROCERES S028,SAN JUAN DE LURIGANCHO,-11.97483638,-77.00224386,0374
6240420,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240423,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240426,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240442,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240445,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240446,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240460,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240463,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240477,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240479,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240480,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240485,METRO INDEPENDENCIA H013,INDEPENDENCIA,-11.987407,-77.064203,0374
6240486,METRO CHORRILLOS H001,CHORRILLOS,-12.17064242,-77.01251828,0374
6240487,VIVANDA DOS DE MAYO,SAN ISIDRO,-12.092159,-77.045632,0374
6240488,VIVANDA BENAVIDES,MIRAFLORES,-12.124542,-77.028054,0374
6240489,VIVANDA ENCALADA,SANTIAGO DE SURCO,-12.10903273,-76.97226516,0374
6240490,VIVANDA PARDO,MIRAFLORES,-12.119252,-77.036078,0374
6240491,SUPER VEA CHORRILLOS,CHORRILLOS,-12.196812,-77.011472,0374
6240492,VIVANDA LIBERTADORES,SAN ISIDRO,-12.103728,-77.037939,0374
6240494,VIVANDA PEZET,SAN ISIDRO,-12.10251126,-77.05214626,0374
6240905,PLAZA VEA CHOSICA,LURIGANCHO,-11.940355,-76.699793,0374
6240917,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240962,METRO SAN FELIPE S035,JESUS MARIA,-12.08681485,-77.05396612,0374
6240963,METRO FAUCETT S032,SAN MIGUEL,-12.06298609,-77.0963088,0374
6240964,WONG SAN MIGUEL T109,SAN MIGUEL,-12.0774,-77.083182,0374
6240965,WONG RETAMAS T108,LA MOLINA,-12.09163284,-76.95081572,0374
6240966,WONG OVALO T102,MIRAFLORES,-12.10988323,-77.03617581,0374
